Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Bruno Mars,That's What I Like (feat. Gucci Mane),60.00,0.85,0.56,1.00,-4.96,1.00,0.05,0.02,0.01,0.08,0.90,134.07,234596.00,4.00,5.00
Boston,Hitch a Ride,54.00,0.38,0.81,3.00,-7.23,1.00,0.04,0.01,0.01,0.10,0.57,116.45,251733.00,4.00,10.00
The Raincoats,No Side to Fall In,35.00,0.43,0.61,6.00,-8.33,1.00,0.05,0.49,0.01,0.39,0.79,147.68,109667.00,4.00,6.00
Deno,Lingo (feat. J.I & Chunkz),66.00,0.85,0.60,10.00,-6.53,0.00,0.06,0.02,0.01,0.12,0.57,107.03,173968.00,4.00,5.00
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53.00,0.17,0.98,2.00,-4.28,1.00,0.22,0.01,0.02,0.17,0.09,199.06,229960.00,4.00,10.00
The Stooges,Search and Destroy - Iggy Pop Mix,53.00,0.24,0.98,6.00,0.88,1.00,0.11,0.01,0.01,0.17,0.24,152.95,208133.00,4.00,6.00
Solomon Burke,None Of Us Are Free,48.00,0.67,0.66,5.00,-9.65,0.00,0.10,0.40,0.01,0.10,0.68,143.29,329387.00,4.00,2.00
Randy Travis,On the Other Hand,55.00,0.66,0.42,5.00,-9.92,1.00,0.03,0.18,0.01,0.13,0.35,96.03,3.11,4.00,4.00
Professional Murder Music,Slow,29.00,0.43,0.78,10.00,-5.40,1.00,0.05,0.01,0.01,0.18,0.32,120.86,237867.00,4.00,8.00
Dudu Aharon,"דודו, יאללה יאללה",14.00,0.72,0.89,1.00,-4.35,0.00,0.03,0.06,0.01,0.25,0.83,128.04,164093.00,4.00,9.00
Mohammed Rafi,Meri Dosti Mera Pyar,11.00,0.49,0.56,7.00,-8.59,0.00,0.03,0.96,0.01,0.26,0.84,95.56,4.33,4.00,3.00
Arctic Monkeys,The View From The Afternoon,59.00,0.39,0.92,9.00,-5.19,0.00,0.07,0.01,0.01,0.19,0.42,146.48,222947.00,4.00,10.00
Eyal Golan,קרובה אליי,34.00,0.59,0.38,1.00,-7.62,0.00,0.05,0.44,0.01,0.13,0.32,143.88,206875.00,4.00,9.00
"Harald Lassen, Bram de Looze",How it feels pt. 2,34.00,0.46,0.37,11.00,-12.07,0.00,0.03,0.95,0.93,0.13,0.17,122.94,4.44,3.00,7.00
Buffalo Springfield,For What It's Worth,76.00,0.65,0.52,2.00,-10.16,1.00,0.05,0.41,0.02,0.10,0.82,98.88,153693.00,4.00,10.00
Elmore James,Madison Blues,37.00,0.43,0.85,2.00,-6.52,1.00,0.04,0.56,0.21,0.25,0.79,67.60,146800.00,4.00,2.00
Dudu Aharon,לא יכול בלעדייך,14.00,0.71,0.94,5.00,-3.61,0.00,0.04,0.11,0.01,0.33,0.88,108.03,179320.00,4.00,9.00
Velvet Two Stripes,Drinks,31.00,0.56,0.80,1.00,-4.73,0.00,0.05,0.01,0.01,0.07,0.40,105.01,154293.00,4.00,10.00
Eden Ben Zaken,מנגינה,29.00,0.57,0.46,9.00,-5.94,0.00,0.02,0.50,0.01,0.13,0.19,93.09,217529.00,4.00,9.00
DaBaby,Baby Sitter (feat. Offset),70.00,0.85,0.73,1.00,-5.80,1.00,0.06,0.02,0.01,0.34,0.39,92.51,157693.00,4.00,5.00
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48.00,0.35,0.41,6.00,-8.07,1.00,0.04,0.02,0.64,0.10,0.40,171.99,283013.00,4.00,6.00
Clairmont The Second,intres-ting,44.00,0.80,0.44,7.00,-9.83,1.00,0.29,0.16,0.01,0.12,0.37,158.11,137872.00,4.00,1.00
Krankhead,Cut Throat,29.00,0.81,0.45,7.00,-9.45,1.00,0.11,0.06,0.01,0.11,0.78,160.02,138000.00,4.00,5.00
The Stone Roses,Driving South,44.00,0.47,0.95,9.00,-6.13,1.00,0.08,0.01,0.02,0.36,0.75,98.78,309867.00,4.00,10.00
R3HAB,Whiplash - Acoustic,44.00,0.56,0.19,8.00,-12.16,1.00,0.03,0.49,0.01,0.12,0.18,138.09,145217.00,4.00,9.00
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",Swagatham Krishna - Mohanam - Adi,0.00,0.55,0.71,10.00,-8.44,1.00,0.11,0.54,0.01,0.36,0.62,119.68,4.02,3.00,11.00
MC Hammer,U Can't Touch This,73.00,0.87,0.52,11.00,-13.22,0.00,0.09,0.01,0.01,0.09,0.87,133.15,257360.00,4.00,9.00
duendita,Open Eyes,35.00,0.34,0.47,5.00,-10.14,1.00,0.04,0.23,0.11,0.52,0.20,144.11,204280.00,4.00,1.00
Rainbow,Since You Been Gone,66.00,0.73,0.73,7.00,-6.51,1.00,0.04,0.38,0.01,0.47,0.92,120.81,197160.00,4.00,8.00
fijitrip,Private Social Network,30.00,0.70,0.66,6.00,-6.00,1.00,0.09,0.01,0.01,0.11,0.40,121.03,180822.00,4.00,6.00
Machine Gun Kelly,love race (feat. Kellin Quinn),81.00,0.52,0.85,10.00,-4.05,1.00,0.05,0.01,0.01,0.21,0.43,95.91,188779.00,4.00,9.00
ShittyCT,Mahapecha Shel Simcha,4.00,0.44,0.95,5.00,-4.29,0.00,0.09,0.01,0.01,0.09,0.52,170.02,180293.00,4.00,6.00
Tetrarch,Negative Noise,49.00,0.38,0.97,1.00,-3.65,0.00,0.14,0.01,0.01,0.23,0.16,194.84,247370.00,4.00,8.00
Dreezy,Where Them $ @,42.00,0.86,0.53,0.00,-7.33,1.00,0.15,0.04,0.01,0.20,0.35,170.88,193962.00,4.00,5.00
The Ayoub Sisters,Mother's Pride,16.00,0.30,0.10,0.00,-20.32,1.00,0.04,0.84,0.86,0.13,0.30,80.67,3.50,4.00,7.00
Brandon Jack & The Artifacts,four days,29.00,0.52,0.95,2.00,-3.99,1.00,0.06,0.03,0.06,0.15,0.96,170.09,130329.00,4.00,1.00
Moon Guitar,Struna,47.00,0.32,0.24,0.00,-15.17,1.00,0.04,0.94,0.93,0.17,0.43,81.09,2.82,4.00,7.00
Ivri Lider,נסיכה שלי,47.00,0.66,0.41,4.00,-9.28,1.00,0.04,0.71,0.01,0.12,0.34,127.87,216695.00,4.00,9.00
Vieux Farka Touré,Bonheur,37.00,0.57,0.75,7.00,-12.83,1.00,0.04,0.37,0.86,0.06,0.76,105.16,338292.00,4.00,2.00
Kvelertak,Crack of Doom (feat. Troy Sanders),44.00,0.36,0.98,1.00,-6.49,0.00,0.12,0.01,0.89,0.11,0.28,159.81,233929.00,4.00,8.00
Better Than Ezra,Good,63.00,0.62,0.66,7.00,-6.87,1.00,0.03,0.01,0.02,0.13,0.79,109.95,185093.00,4.00,10.00
Lior Narkis,חלקת אלוהים - השיר של אופיר,44.00,0.48,0.44,0.00,-6.50,1.00,0.03,0.86,0.01,0.14,0.24,107.92,174242.00,4.00,9.00
Silversun Pickups,Lazy Eye,65.00,0.63,0.83,4.00,-5.05,1.00,0.05,0.04,0.69,0.12,0.24,127.40,354360.00,4.00,10.00
Lilly Wood and The Prick,A Song,0.00,0.62,0.44,11.00,-7.50,1.00,0.08,0.41,0.01,0.50,0.65,155.01,209307.00,4.00,6.00
Orange Juice,Rip It Up,55.00,0.88,0.55,7.00,-9.36,1.00,0.04,0.05,0.01,0.05,0.85,102.81,320413.00,4.00,6.00
U2,The Blackout,49.00,0.62,0.53,9.00,-9.10,0.00,0.03,0.03,0.01,0.09,0.33,120.05,285933.00,4.00,10.00
Omer Adam,תגידי לי שטוב לך,37.00,0.61,0.50,2.00,-7.41,1.00,0.07,0.45,0.01,0.17,0.47,135.61,205040.00,4.00,9.00
The Clash,The Magnificent Seven - Remastered,56.00,0.80,0.79,0.00,-8.21,1.00,0.04,0.06,0.01,0.03,0.83,116.08,333520.00,4.00,10.00
Victor Manu,Raphaela,47.00,0.49,0.06,2.00,-19.20,1.00,0.04,0.98,0.93,0.11,0.15,78.23,3.01,4.00,7.00
The Last Shadow Puppets,Bad Habits,49.00,0.52,0.64,9.00,-7.55,1.00,0.04,0.01,0.01,0.08,0.45,88.97,180968.00,4.00,10.00
Anne-Marie,Our Song,48.00,0.60,0.76,11.00,-4.25,0.00,0.04,0.14,0.01,0.17,0.52,80.95,163733.00,4.00,9.00
How Lucky,"Kurt Vile, John Prine",0.00,0.52,0.44,5.00,-9.93,1.00,0.03,0.47,0.01,0.37,0.49,171.25,3.39,4.00,11.00
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",28.00,0.57,0.94,0.00,-10.36,1.00,0.12,0.01,0.35,0.73,0.32,117.81,403027.00,4.00,10.00
Veruca Salt,Seether,47.00,0.61,0.86,8.00,-9.18,1.00,0.04,0.01,0.01,0.16,0.69,136.21,196467.00,4.00,1.00
Juice WRLD,Life's A Mess (feat. Halsey),77.00,0.63,0.45,1.00,-8.90,1.00,0.04,0.34,0.01,0.17,0.18,143.08,202193.00,4.00,5.00
BENEE,C U,53.00,0.52,0.53,9.00,-11.49,0.00,0.04,0.56,0.01,0.39,0.33,95.19,180533.00,4.00,9.00
Berry Sakharof,נפתלי הדג,18.00,0.50,0.47,2.00,-13.89,1.00,0.03,0.61,0.89,0.15,0.28,102.40,352267.00,4.00,10.00
Ganser,Self Service - Adam Faulkner / Girl Band Remix,9.00,0.19,0.87,9.00,-10.52,1.00,0.06,0.01,0.81,0.11,0.08,84.03,207465.00,3.00,6.00
Dion,Blues Comin’ On,34.00,0.53,0.69,4.00,-6.58,0.00,0.03,0.02,0.01,0.30,0.65,140.04,288071.00,4.00,2.00
Nick Cave & The Bad Seeds,Deanna,41.00,0.42,0.94,0.00,-4.87,1.00,0.09,0.01,0.01,0.14,0.44,134.39,225627.00,4.00,1.00
Soen,Lotus,49.00,0.43,0.40,4.00,-9.34,0.00,0.03,0.08,0.01,0.11,0.14,155.76,323931.00,4.00,10.00
Vani Jairam,Bole Re Papihara,20.00,0.37,0.71,1.00,-9.57,0.00,0.06,0.67,0.01,0.36,0.75,89.10,3.58,4.00,3.00
Liam Gallagher,Once,59.00,0.39,0.65,6.00,-3.96,1.00,0.04,0.09,0.01,0.11,0.27,120.76,213677.00,4.00,10.00
The Pretty Things,She's a Lover,38.00,0.44,0.80,2.00,-9.42,1.00,0.03,0.01,0.01,0.30,0.79,84.85,212067.00,4.00,6.00
Tha Dogg Pound,"New York, New York",56.00,0.83,0.53,2.00,-4.78,1.00,0.30,0.02,0.01,0.13,0.69,87.26,290440.00,4.00,5.00
BLAB,Casual Sex,26.00,0.71,0.69,2.00,-7.57,1.00,0.03,0.04,0.03,0.04,0.70,129.99,194567.00,4.00,1.00
Mighty Sam McClain,When the Hurt Is Over,41.00,0.58,0.14,0.00,-15.79,1.00,0.15,0.68,0.01,0.12,0.53,156.01,371496.00,3.00,2.00
Trillary Banks,Last Man Standing,35.00,0.70,0.58,6.00,-9.33,1.00,0.42,0.29,0.01,0.14,0.71,142.82,176667.00,4.00,5.00
El Goodo,Feel so Fine,30.00,0.25,0.88,2.00,-3.06,1.00,0.10,0.01,0.31,0.12,0.33,134.45,237493.00,4.00,10.00
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54.00,0.80,0.64,0.00,-6.41,1.00,0.06,0.17,0.01,0.09,0.77,77.01,218360.00,4.00,2.00
Why Bonnie,Athlete,24.00,0.54,0.58,4.00,-8.52,1.00,0.03,0.10,0.01,0.28,0.35,102.03,191890.00,4.00,10.00
Snoop Dogg,Beautiful,63.00,0.91,0.70,11.00,-6.27,0.00,0.14,0.25,0.01,0.08,0.96,101.01,298307.00,4.00,5.00
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),68.00,0.67,0.64,8.00,-5.67,1.00,0.08,0.02,0.01,0.09,0.15,158.06,151891.00,4.00,10.00
Turbo Knight,Rasengan,43.00,0.44,0.94,10.00,-7.98,1.00,0.04,0.01,0.97,0.11,0.59,110.00,307545.00,4.00,6.00
The Black Crowes,Sometimes Salvation,41.00,0.37,0.66,4.00,-4.91,1.00,0.03,0.01,0.01,0.06,0.36,148.34,284000.00,3.00,10.00
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),41.00,0.78,0.71,0.00,-4.72,1.00,0.09,0.03,0.01,0.19,0.67,129.95,4.75,4.00,9.00
Radiohead,Burn the Witch,57.00,0.54,0.85,11.00,-6.52,1.00,0.03,0.30,0.27,0.11,0.62,148.94,220609.00,4.00,10.00
Oceans,Shark Tooth,42.00,0.44,0.89,11.00,-6.46,0.00,0.05,0.01,0.01,0.87,0.34,93.90,198345.00,4.00,8.00
Arctic Monkeys,R U Mine?,79.00,0.29,0.76,6.00,-5.69,0.00,0.04,0.01,0.01,0.30,0.62,97.09,201726.00,4.00,10.00
The Stranglers,Golden Brown,71.00,0.56,0.38,6.00,-15.47,1.00,0.03,0.14,0.12,0.14,0.60,93.76,206760.00,3.00,10.00
Itay Levi,השקט של שבת,33.00,0.68,0.35,1.00,-10.39,1.00,0.05,0.55,0.01,0.09,0.44,80.01,157630.00,4.00,9.00
Joe Bonamassa,Cradle Rock,44.00,0.41,0.91,2.00,-4.87,1.00,0.04,0.01,0.01,0.09,0.61,106.68,230027.00,4.00,10.00
LeRoi Thirteen,Stand up and Shout (Cover),41.00,0.49,0.97,8.00,-4.30,1.00,0.12,0.01,0.23,0.34,0.26,108.95,229617.00,4.00,8.00
Us The Duo,drivers license,55.00,0.37,0.35,10.00,-11.48,1.00,0.18,0.84,0.01,0.19,0.13,74.46,3.81,1.00,11.00
Keller Williams,Right Here,43.00,0.63,0.19,8.00,-14.54,1.00,0.07,0.89,0.40,0.11,0.42,143.38,348383.00,4.00,2.00
Primal Scream,Movin' on Up,63.00,0.52,0.76,5.00,-12.44,1.00,0.03,0.10,0.01,0.07,0.58,94.27,228267.00,4.00,10.00
Lil Son Jackson,Upstairs Boogie,35.00,0.59,0.44,10.00,-13.45,0.00,0.03,0.88,0.02,0.32,0.76,130.23,136560.00,3.00,2.00
